Риск-балл;Уровень риска;Риск-флаги;VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние;Ценовой сегмент;Цена продажи факт;МЦП;Отклонение от МЦП, ₽;% цены к МЦП;% цены к рынку;Срок публикации;Срок хранения;Количество звонков;Статус звонков;GM2, ₽;GM2, %;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Оценок по VIN;flag_multiple_evaluations
9;Критический;"ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже МЦП; ниже 95% МЦП";LS4ASE2E2PA263214;Avangard Приморский;Changan;CS55 Plus;2023;101996;C;1–2 млн ₽;1500000.0;1630434.7826086956;-130434.78260869556;92.0;76.0;39.0;41.0;4.0;звонки были;100926.0;6.7;Симаньков Артем;Симаньков Артем;Trade-In на новый;81.0;1;False
7;Высокий;"ниже рынка; ниже 90% рынка; ниже МЦП; ниже 95% МЦП";Z94K241CBLR164899;Avangard Приморский;Hyundai;Solaris;2019;51567;C;1–2 млн ₽;1210000.0;1329670.3296703296;-119670.32967032958;91.0;82.0;8.0;48.0;19.0;звонки были;81365.0;6.7;Тронягин Кирилл;Петров Денис;Trade-In на БУ;79.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже рынка ≤7 дней; ниже МЦП";XWEPK81CDM0001561;Avangard Приморский;Kia;Sportage;2021;36260;C;2–3 млн ₽;2647000.0;2757291.666666667;-110291.66666666698;96.0;92.0;0.0;8.0;;нет данных;116564.0;4.4;Бойцов Иван;Бойцов Иван;Trade-In на новый;81.0;1;False
14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; GM2<0";Z8NFBNJ11ES062978;Авангард Выкуп;Nissan;Qashqai;2018;68300;A;1–2 млн ₽;1693000.0;1801063.829787234;-108063.82978723408;94.0;86.0;0.0;43.0;;нет данных;-44988.0;-2.7;;;;;0;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";X7LHSRDJN46998061;Avangard Приморский;Renault;Duster;2012;314750;D;<1 млн ₽;275000.0;381944.44444444444;-106944.44444444444;72.0;47.0;0.0;1.0;;нет данных;37767.0;13.7;Бойцов Иван;Бойцов Иван;Trade-In на новый;69.0;1;False
14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП";XWEJ281EAL0000223;Avangard Приморский;Kia;Soul;2019;92600;D;<1 млн ₽;900000.0;1000000.0;-100000.0;90.0;61.0;0.0;1.0;;нет данных;69895.0;7.8;Параничев Андрей;Параничев Андрей;Trade-In на новый;77.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";JTJHF10U710197516;Avangard Приморский;Lexus;RX;2001;283302;D;<1 млн ₽;250000.0;347222.22222222225;-97222.22222222225;72.0;34.0;0.0;0.0;;нет данных;30477.0;12.2;Параничев Андрей;Параничев Андрей;Trade-In на новый;54.0;1;False
9;Критический;"ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже МЦП; ниже 95% МЦП";RUMKE1978EV024525;Avangard Приморский;Mazda;CX-5;2014;158411;C;1–2 млн ₽;1240000.0;1333333.3333333333;-93333.33333333326;93.0;72.0;49.0;52.0;16.0;звонки были;6570.0;0.5;Жиганов Василий;Жиганов Василий;Trade-In;68.0;1;False
14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП";XW7B14HK20S220322;Avangard Приморский;Toyota;Camry;2021;281744;D;1–2 млн ₽;1400000.0;1489361.7021276597;-89361.7021276597;94.0;63.0;0.0;0.0;;нет данных;90637.0;6.5;Вырышев Максим;Вырышев Максим;Trade-In на новый;56.99999999999999;1;False
3;Средний;ниже МЦП;Z9M2130805L001776;Авангард Выкуп;Mercedes-Benz;E-Класс;2020;123621;A;2–3 млн ₽;2730000.0;2814432.9896907215;-84432.9896907215;97.0;102.0;13.0;52.0;4.0;звонки были;175220.0;6.4;Богачев Андрей;Богачев Андрей;Выкуп;81.0;1;False
