Риск-балл;Уровень риска;Риск-флаги;VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние;Ценовой сегмент;Цена продажи факт;МЦП;Отклонение от МЦП, ₽;% цены к МЦП;% цены к рынку;Срок публикации;Срок хранения;Количество звонков;Статус звонков;GM2, ₽;GM2, %;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Оценок по VIN;flag_multiple_evaluations
13;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП";Z6FDXXEECDHU27469;Avangard Приморский;Ford;Mondeo;2017;109647;B;1–2 млн ₽;1500000.0;1530612.2448979593;-30612.24489795929;98.0;79.0;0.0;0.0;;нет данных;153937.0;10.3;Жиганов Василий;Полежаев Александр;Trade-In на БУ;83.0;1;False
13;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП";XUFJA685JD3044105;Avangard Приморский;Chevrolet;Cruze;2013;159708;D;<1 млн ₽;450000.0;459183.67346938775;-9183.673469387752;98.0;70.0;0.0;1.0;;нет данных;34947.0;7.8;Тронягин Кирилл;Бабарико Валерий;Trade-In на БУ;79.0;1;False
13;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП";XTT316300D0007600;Avangard Приморский;УАЗ;Патриот;2013;131847;D;<1 млн ₽;210000.0;216494.84536082475;-6494.845360824751;97.0;36.0;0.0;1.0;;нет данных;36054.0;17.2;Параничев Андрей;Параничев Андрей;Trade-In на новый;62.0;1;False
13;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП";KMHBU51BP7U720616;Avangard Приморский;Hyundai;Getz;2007;173885;D;<1 млн ₽;210000.0;214285.7142857143;-4285.71428571429;98.0;39.0;0.0;5.0;;нет данных;35710.0;17.0;Жиганов Василий;Жиганов Василий;Trade-In на новый;63.0;1;False
12;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП";VF38D4HLACL036980;Avangard Приморский;Peugeot;508;2012;146603;B;<1 млн ₽;850000.0;934065.934065934;-84065.93406593404;91.0;88.0;0.0;2.0;;нет данных;98665.0;11.6;Симаньков Артем;Симаньков Артем;Trade-In на новый;68.0;1;False
12;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; GM2<0; несколько оценок";XW8ZZZ4G7GG038680;Авангард Выкуп;Audi;A6;2015;303000;Не указано;1–2 млн ₽;1256000.0;;;;76.0;0.0;0.0;;нет данных;-35647.0;-2.8;Мироненко Алексей;Мироненко Алексей;Выкуп;80.0;2;True
12;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; GM2<0";WDC2511221A149889;Avangard Приморский;Mercedes-Benz;R-Класс;2012;305521;C;1–2 млн ₽;1040000.0;;;;56.0;0.0;53.0;;нет данных;-27725.0;-2.7;Жиганов Василий;Жиганов Василий;Trade-In;73.0;1;False
11;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней; ниже МЦП";YV1LFK2UCL1594859;Авангард Выкуп;Volvo;XC90;2023;139759;A;3–5 млн ₽;4475000.0;4710526.315789474;-235526.31578947417;95.0;82.0;0.0;11.0;;нет данных;231388.0;5.2;Мироненко Алексей;Мироненко Алексей;Выкуп;80.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже рынка ≤7 дней; ниже МЦП";XWEPK81CDM0001561;Avangard Приморский;Kia;Sportage;2021;36260;C;2–3 млн ₽;2647000.0;2757291.666666667;-110291.66666666698;96.0;92.0;0.0;8.0;;нет данных;116564.0;4.4;Бойцов Иван;Бойцов Иван;Trade-In на новый;81.0;1;False
10;Критический;"0 звонков; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней; ниже МЦП";XW8AC4NE6LH021405;Авангард Выкуп;Skoda;Octavia;2020;72438;A;1–2 млн ₽;1890000.0;1968750.0;-78750.0;96.0;86.0;1.0;17.0;0.0;0 звонков;92120.0;4.9;Мироненко Алексей;Мироненко Алексей;Выкуп;80.0;1;False
10;Критический;"ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже МЦП; GM2<0";XW8AC2NH3KK122496;Avangard Приморский;Skoda;Rapid;2019;99358;C;1–2 млн ₽;1019000.0;1050515.4639175257;-31515.463917525718;97.0;75.0;81.0;97.0;9.0;звонки были;-21660.0;-2.1;;;;;0;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";WAUZZZ8V6DA054806;Avangard Приморский;Audi;A3;2013;251794;D;<1 млн ₽;600000.0;600000.0;0.0;100.0;57.0;0.0;1.0;;нет данных;62224.0;10.4;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;50.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";X7LASRBA658818151;Avangard Приморский;Renault;Kaptur;2017;112790;D;<1 млн ₽;925000.0;925000.0;0.0;100.0;70.0;0.0;4.0;;нет данных;57148.0;6.2;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;72.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";XW8ZZZ5NZDG127020;Avangard Приморский;Volkswagen;Tiguan;2013;152800;C;1–2 млн ₽;1120000.0;;;;74.0;0.0;1.0;;нет данных;146405.0;13.1;Вырышев Максим;Вырышев Максим;Trade-In на новый;72.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";SB1BG76L10E007352;Avangard Приморский;Toyota;Avensis;2009;211824;B;<1 млн ₽;850000.0;;;;78.0;0.0;1.0;;нет данных;97282.0;11.4;Параничев Андрей;Параничев Андрей;Trade-In на новый;77.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";XWF0AHL48C0007655;Avangard Приморский;Opel;Astra;2011;117132;D;<1 млн ₽;310000.0;;;;53.0;0.0;0.0;;нет данных;42200.0;13.6;Параничев Андрей;Параничев Андрей;Trade-In на новый;72.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";TMBAB43T3D9009319;Avangard Приморский;Skoda;Superb;2012;199900;C;<1 млн ₽;750000.0;;;;74.0;0.0;3.0;;нет данных;85716.0;11.4;Жиганов Василий;Жиганов Василий;Trade-In;75.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; несколько оценок";KMHBU51DP8U760098;Авангард Выкуп;Hyundai;Getz;2007;137901;Не указано;<1 млн ₽;360000.0;;;;69.0;0.0;3.0;;нет данных;67756.0;18.8;Вырышев Максим;Полежаев Александр;Trade-In на БУ;52.0;2;True
