Автосалон;Авто, шт.;Сумма продажи Авангард, ₽;Сумма цен объявлений, ₽;Потенциальная упущенная выгода, ₽;Средняя упущенная выгода, ₽;Средняя наценка, %;Медиана дней до публикации
Avangard Приморский;21;24037000.0;28319000.0;4282000.0;203905;31.5;13.6
Авангард Выкуп;1;1890000.0;2099000.0;209000.0;209000;11.1;0.5
