VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние исходное;Состояние;В основной выборке;Ценовой сегмент;Срок хранения;Срок публикации;Цена продажи факт;% цены к рынку;МЦП;% цены к МЦП;% цены к МЦП исходный;Отклонение от МЦП, ₽;Отклонение от МЦП, % п.п.;Суммарные затраты;% затрат к рынку выбытие;GM1, ₽;GM1, %;GM2, ₽;GM2, %;Категория GM2;Средний пробег рынка;Количество звонков за последнее время;Количество звонков;Статус звонков;Скоринг исходный;Средняя скорость продажи;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Собственнику;Подготовка оценка;Цена продажи из оценки (не МЦП);Оценок по VIN;Оценщики все;Менеджеры все;Дублей в выбытиях;Дублей в МЦП;Есть МЦП;Есть оценка;flag_no_publication;flag_zero_calls;flag_calls_no_data;flag_below_market;flag_below_market_90;flag_below_market_80;flag_quick_below_market;flag_below_ocp;flag_below_ocp_95;flag_below_ocp_90;flag_negative_gm2;flag_multiple_evaluations;Риск-балл;Уровень риска;Риск-флаги
Z8PFF3A5XEA068111;Avangard Приморский;Great Wall;Hover H3;2014;152908;Плохое (D);D;True;<1 млн ₽;5.0;0.0;618000.0;81.0;;;;;;309000.0;41.0;309000.0;50.0;214983.0;34.8;Высокая прибыль;150944;;;нет данных;3-;14;Вырышев Максим;Вырышев Максим;Trade-In на новый;67.0;500000.0;20000.0;577778.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;True;False;True;True;True;False;True;False;False;False;False;False;8;Высокий;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней"
XW8ZZZ4G7GG038680;Авангард Выкуп;Audi;A6;2015;303000;Не указано;Не указано;True;1–2 млн ₽;0.0;0.0;1256000.0;76.0;;;;;;1305600.0;79.0;-49600.0;-4.0;-35647.0;-2.8;Убыток;196609;;;нет данных;2+;38;Мироненко Алексей;Мироненко Алексей;Выкуп;80.0;1728778.0;9622.0;2173000.0;2;"Безносов Никита; Мироненко Алексей";"Безносов Никита; Мироненко Алексей";2;2;False;True;True;False;True;True;True;True;True;False;False;False;True;True;12;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; GM2<0; несколько оценок"
LFMJN5BF3R3110960;Авангард Выкуп;Toyota;RAV4;2024;22186;Отличное (A);A;True;3–5 млн ₽;4.0;0.0;4000000.0;100.0;;;;;;3600000.0;90.0;400000.0;10.0;265293.0;6.6;Средняя прибыль;24188;;;нет данных;2;44;Безносов Никита;Безносов Никита;Выкуп;80.0;3101578.0;9622.0;3889000.0;1;Безносов Никита;Безносов Никита;1;1;False;True;True;False;True;False;False;False;False;False;False;False;False;False;3;Средний;"без публикации; нет данных по звонкам"
XW8ZZZ5NZDG132092;Авангард Выкуп;Volkswagen;Tiguan;2013;135701;Хорошее (B);B;True;1–2 млн ₽;10.0;31.0;1070000.0;89.0;;;;;;935000.0;78.0;135000.0;13.0;82718.0;7.7;Высокая прибыль;191247;1.0;1.0;звонки были;4-;32;Бабкин Кирилл;Бабкин Кирилл;Выкуп;80.0;914378.0;9622.0;1155000.0;1;Бабкин Кирилл;Бабкин Кирилл;1;1;False;True;False;False;False;True;True;False;False;False;False;False;False;False;3;Средний;"ниже рынка; ниже 90% рынка"
LVVDB21B3PD172006;Avangard Приморский;Omoda;C5;2023;48502;Среднее (C);C;True;1–2 млн ₽;0.0;0.0;1380000.0;78.0;1586206.896551724;87.0;87.0;-206206.89655172406;-13.0;9000.0;100.0;;;34370.0;2.5;Низкая прибыль;44649;;;нет данных;4+;20;Вырышев Максим;Вырышев Максим;Trade-In на новый;77.0;1350000.0;20000.0;1462000.0;1;Вырышев Максим;Вырышев Максим;1;1;True;True;True;False;True;True;True;True;True;True;True;True;False;False;15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП"
XW7B14HK20S220322;Avangard Приморский;Toyota;Camry;2021;281744;Плохое (D);D;True;1–2 млн ₽;0.0;0.0;1400000.0;63.0;1489361.7021276597;94.0;94.0;-89361.7021276597;-6.0;1269000.0;57.0;131000.0;9.0;90637.0;6.5;Средняя прибыль;101288;;;нет данных;4-;28;Вырышев Максим;Вырышев Максим;Trade-In на новый;56.99999999999999;1260000.0;20000.0;1422222.0;1;Вырышев Максим;Вырышев Максим;1;1;True;True;True;False;True;True;True;True;True;True;True;False;False;False;14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП"
XZGEE04A8PA859255;Avangard Приморский;Haval;Jolion;2023;95531;Среднее (C);C;True;1–2 млн ₽;8.0;2.0;1390000.0;93.0;;;;;;989000.0;66.0;401000.0;29.0;276201.0;19.9;Высокая прибыль;39837;4.0;4.0;звонки были;1+;;Вырышев Максим;Вырышев Максим;Trade-In на новый;69.0;1000000.0;20000.0;1133333.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;False;False;True;False;False;False;False;False;4;Средний;"ниже рынка; ниже рынка ≤7 дней"
YV1MW214272323766;Avangard Приморский;Volvo;V50;2007;418419;Плохое (D);D;True;<1 млн ₽;5.0;0.0;215000.0;31.0;228723.40425531915;94.0;94.0;-13723.404255319154;-6.0;105390.0;15.0;109610.0;51.0;75905.0;35.3;Высокая прибыль;245250;;;нет данных;;;Параничев Андрей;Параничев Андрей;Trade-In на новый;56.00000000000001;211470.0;20000.0;293000.0;1;Параничев Андрей;Параничев Андрей;1;1;True;True;True;False;True;True;True;True;True;True;True;False;False;False;14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП"
X7LHSRDB467946735;Avangard Приморский;Renault;Duster;2021;91002;Хорошее (B);B;True;1–2 млн ₽;7.0;1.0;1790000.0;96.0;;;;;;1575390.0;84.0;214610.0;12.0;144001.0;8.0;Высокая прибыль;81567;2.0;2.0;звонки были;2+;;Жиганов Василий;Жиганов Василий;Trade-In;83.0;1500000.0;20000.0;1688889.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;False;False;False;True;False;False;True;False;False;False;False;False;4;Средний;"ниже рынка; ниже рынка ≤7 дней"
XW8ZZZ5NZDG127020;Avangard Приморский;Volkswagen;Tiguan;2013;152800;Среднее (C);C;True;1–2 млн ₽;1.0;0.0;1120000.0;74.0;;;;;;909000.0;60.0;211000.0;19.0;146405.0;13.1;Высокая прибыль;175319;;;нет данных;4-;26;Вырышев Максим;Вырышев Максим;Trade-In на новый;72.0;1050000.0;20000.0;1188889.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
SB1BG76L10E007352;Avangard Приморский;Toyota;Avensis;2009;211824;Хорошее (B);B;True;<1 млн ₽;1.0;0.0;850000.0;78.0;;;;;;709000.0;65.0;141000.0;17.0;97282.0;11.4;Высокая прибыль;222519;;;нет данных;1;;Параничев Андрей;Параничев Андрей;Trade-In на новый;77.0;801920.0;20000.0;934000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
VF38D4HLACL036980;Avangard Приморский;Peugeot;508;2012;146603;Хорошее (B);B;True;<1 млн ₽;2.0;0.0;850000.0;88.0;934065.934065934;91.0;91.0;-84065.93406593404;-9.0;706966.0;73.0;143034.0;17.0;98665.0;11.6;Высокая прибыль;205417;;;нет данных;;;Симаньков Артем;Симаньков Артем;Trade-In на новый;68.0;620800.0;20000.0;712000.0;1;Симаньков Артем;Симаньков Артем;1;1;True;True;True;False;True;True;True;False;True;True;True;False;False;False;12;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП"
XWF0AHL48C0007655;Avangard Приморский;Opel;Astra;2011;117132;Плохое (D);D;True;<1 млн ₽;0.0;0.0;310000.0;53.0;;;;;;250000.0;43.0;60000.0;19.0;42200.0;13.6;Высокая прибыль;194537;;;нет данных;3+;41;Параничев Андрей;Параничев Андрей;Trade-In на новый;72.0;400000.0;20000.0;525000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
XWEJ281EAL0000223;Avangard Приморский;Kia;Soul;2019;92600;Плохое (D);D;True;<1 млн ₽;1.0;0.0;900000.0;61.0;1000000.0;90.0;90.0;-100000.0;-10.0;800000.0;54.0;100000.0;11.0;69895.0;7.8;Высокая прибыль;122585;;;нет данных;1;;Параничев Андрей;Параничев Андрей;Trade-In на новый;77.0;1113100.0;20000.0;1259000.0;1;Параничев Андрей;Параничев Андрей;1;1;True;True;True;False;True;True;True;True;True;True;True;False;False;False;14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП"
XWFSD9EM1E0000346;Avangard Приморский;Opel;Meriva;2013;150206;Среднее (C);C;True;<1 млн ₽;4.0;2.0;750000.0;102.0;;;;;;585000.0;80.0;165000.0;22.0;114168.0;15.2;Высокая прибыль;167261;2.0;2.0;звонки были;1+;;Вырышев Максим;Вырышев Максим;Trade-In на новый;81.0;585000.0;20000.0;672222.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0;Низкий;
WP1ZZZ9YZLDA35117;Авангард Выкуп;Porsche;Cayenne;2023;109341;Не указано;Не указано;True;Нет данных;0.0;0.0;;;;;;;;;;;;;;;26612;;;нет данных;;;Богачев Андрей;Богачев Андрей;Выкуп;81.0;6114400.0;20000.0;6816000.0;2;"Безносов Никита; Богачев Андрей";"Безносов Никита; Богачев Андрей";1;1;False;True;True;False;True;False;False;False;False;False;False;False;False;True;3;Средний;"без публикации; нет данных по звонкам; несколько оценок"
SALLAAAF6DA671771;Avangard Приморский;Land Rover;Discovery;2013;189593;Среднее (C);C;True;2–3 млн ₽;8.0;8.0;2145000.0;85.0;;;;;;1721100.0;69.0;423900.0;20.0;283482.0;13.2;Высокая прибыль;237920;0.0;0.0;0 звонков;2+;39;Вырышев Максим;Вырышев Максим;Trade-In на новый;81.0;1916800.0;20000.0;2152000.0;2;"Вырышев Максим; Жиганов Василий";"Вырышев Максим; Жиганов Василий";1;1;False;True;False;True;False;True;True;False;False;False;False;False;False;True;5;Средний;"0 звонков; ниже рынка; ниже 90% рынка; несколько оценок"
TMBAB43T3D9009319;Avangard Приморский;Skoda;Superb;2012;199900;Среднее (C);C;True;<1 млн ₽;3.0;0.0;750000.0;74.0;;;;;;625390.0;62.0;124610.0;17.0;85716.0;11.4;Высокая прибыль;232007;;;нет данных;2;39;Жиганов Василий;Жиганов Василий;Trade-In;75.0;700000.0;20000.0;800000.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
Z94CB41BBDR122769;Avangard Приморский;Kia;Rio;2013;120888;Среднее (C);C;True;<1 млн ₽;4.0;2.0;740000.0;80.0;;;;;;643500.0;70.0;96500.0;13.0;64211.0;8.7;Высокая прибыль;193759;;;нет данных;4-;26;Вырышев Максим;Поликарпов Денис;Trade-In на БУ;70.0;630000.0;20000.0;722222.0;1;Вырышев Максим;Поликарпов Денис;1;1;False;True;False;False;True;True;True;False;True;False;False;False;False;False;5;Средний;"нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней"
KMHBU51DP8U760098;Авангард Выкуп;Hyundai;Getz;2007;137901;Не указано;Не указано;True;<1 млн ₽;3.0;0.0;360000.0;69.0;;;;;;260000.0;50.0;100000.0;28.0;67756.0;18.8;Высокая прибыль;197782;;;нет данных;4+;16;Вырышев Максим;Полежаев Александр;Trade-In на БУ;52.0;250000.0;20000.0;300000.0;2;"Бабкин Кирилл; Вырышев Максим";"Бабкин Кирилл; Полежаев Александр";1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;True;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; несколько оценок"
WMWLN710802D92834;Авангард Выкуп;Mini;Clubman;2016;98714;Среднее (C);C;True;1–2 млн ₽;1.0;0.0;1600000.0;73.0;;;;;;1550000.0;70.0;50000.0;3.0;33167.0;2.1;Низкая прибыль;120500;;;нет данных;;;Бабкин Кирилл;Бабкин Кирилл;Выкуп;80.0;1510378.0;9622.0;1900000.0;2;Бабкин Кирилл;Бабкин Кирилл;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;True;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; несколько оценок"
WAUZZZ8E33A360537;Avangard Приморский;Audi;A4;2003;245719;Среднее (C);C;True;<1 млн ₽;4.0;0.0;495000.0;101.0;;;;;;105390.0;22.0;389610.0;79.0;272896.0;55.1;Высокая прибыль;336676;;;нет данных;;;Бойцов Иван;Бойцов Иван;Trade-In на новый;41.0;200000.0;20000.0;244444.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;True;False;True;False;False;False;False;False;False;False;False;False;3;Средний;"без публикации; нет данных по звонкам"
L6T7852D8ND109053;Avangard Приморский;Geely;Tugella;2022;29055;Хорошее (B);B;True;2–3 млн ₽;12.0;11.0;2740000.0;91.0;2767676.767676768;99.0;99.0;-27676.767676767893;-1.0;2321100.0;77.0;418900.0;15.0;270400.0;9.9;Высокая прибыль;30805;0.0;0.0;0 звонков;4-;25;Вырышев Максим;Вырышев Максим;Trade-In на новый;81.0;2346100.0;20000.0;2629000.0;1;Вырышев Максим;Вырышев Максим;1;1;True;True;False;True;False;True;False;False;False;True;False;False;False;False;7;Высокий;"0 звонков; ниже рынка; ниже МЦП"
1C4RJFCGXDC566266;Avangard Приморский;Jeep;Grand Cherokee;2012;325500;Плохое (D);D;True;<1 млн ₽;2.0;0.0;950000.0;65.0;;;;;;805390.0;55.0;144610.0;15.0;99928.0;10.5;Высокая прибыль;251160;;;нет данных;2+;38;Бойцов Иван;Бойцов Иван;Trade-In на новый;70.0;1000000.0;20000.0;1133333.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
WAUZZZ8R1HA014593;Avangard Приморский;Audi;Q5;2016;103215;Среднее (C);C;True;2–3 млн ₽;8.0;0.0;2170000.0;80.0;;;;;;2027500.0;74.0;142500.0;7.0;86754.0;4.0;Низкая прибыль;157875;;;нет данных;3;25;Бойцов Иван;Бойцов Иван;Trade-In на новый;77.0;2100000.0;20000.0;2355556.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;True;False;True;True;True;False;True;False;False;False;False;False;8;Высокий;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней"
Z6FAXXESMAJU11018;Avangard Приморский;Ford;Kuga;2018;115000;Хорошее (B);B;True;1–2 млн ₽;6.0;0.0;1790000.0;101.0;;;;;;1405390.0;79.0;384610.0;21.0;264990.0;14.8;Высокая прибыль;143107;;;нет данных;4+;17;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;86.0;1400000.0;20000.0;1613636.0;1;Тронягин Кирилл;Тронягин Кирилл;1;1;False;True;True;False;True;False;False;False;False;False;False;False;False;False;3;Средний;"без публикации; нет данных по звонкам"
JTEHH20V306112352;Авангард Выкуп;Toyota;RAV4;2004;;Не указано;Не указано;True;<1 млн ₽;1.0;0.0;605000.0;;;;;;;450000.0;;155000.0;26.0;105520.0;17.4;Высокая прибыль;;;;нет данных;;;;;;;;;;0;;;1;1;False;False;True;False;True;False;False;False;False;False;False;False;False;False;3;Средний;"без публикации; нет данных по звонкам"
XTT316300J1018091;Avangard Приморский;УАЗ;Патриот;2018;60555;Хорошее (B);B;True;1–2 млн ₽;13.0;6.0;1100000.0;95.0;;;;;;822900.0;71.0;277100.0;25.0;173871.0;15.8;Высокая прибыль;101215;4.0;5.0;звонки были;4-;15;Бойцов Иван;Бойцов Иван;Trade-In на новый;76.0;800000.0;20000.0;911111.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;False;False;True;False;False;False;False;False;4;Средний;"ниже рынка; ниже рынка ≤7 дней"
LVVDB21B2PD965233;Avangard Приморский;Chery;Tiggo 4 Pro;2023;57850;Хорошее (B);B;True;1–2 млн ₽;7.0;4.0;1270000.0;90.0;1309278.3505154639;97.0;97.0;-39278.350515463855;-3.0;1109000.0;78.0;161000.0;13.0;106447.0;8.4;Высокая прибыль;65236;0.0;0.0;0 звонков;3+;16;Параничев Андрей;Параничев Андрей;Trade-In на новый;81.0;1111300.0;20000.0;1257000.0;1;Параничев Андрей;Параничев Андрей;1;1;True;True;False;True;False;True;False;False;True;True;False;False;False;False;9;Критический;"0 звонков; ниже рынка; ниже рынка ≤7 дней; ниже МЦП"
WP0CB2987LS225200;Авангард Выкуп;Porsche;Boxster;2019;12720;Отличное (A);A;True;5+ млн ₽;4.0;4.0;9200000.0;130.0;;;;;;;;;;;;;72000;0.0;0.0;0 звонков;;;Богачев Андрей;Богачев Андрей;Выкуп;80.0;5670378.0;9622.0;7100000.0;1;Богачев Андрей;Богачев Андрей;1;1;False;True;False;True;False;False;False;False;False;False;False;False;False;False;2;Низкий;0 звонков
XW8AD6NE2FH013203;Авангард Выкуп;Skoda;Octavia;2014;245501;Не указано;Не указано;True;<1 млн ₽;3.0;0.0;890000.0;77.0;;;;;;800000.0;69.0;90000.0;10.0;60035.0;6.7;Средняя прибыль;226812;;;нет данных;3-;35;Бабкин Кирилл;Бабкин Кирилл;Выкуп;0.0;;;;1;Бабкин Кирилл;Бабкин Кирилл;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
Z6FBXXESWBJT04173;Avangard Приморский;Ford;Explorer;2018;106500;Плохое (D);D;True;2–3 млн ₽;2.0;0.0;2400000.0;75.0;;;;;;2106966.0;65.0;293034.0;12.0;202631.0;8.4;Высокая прибыль;164625;;;нет данных;3+;35;Параничев Андрей;Параничев Андрей;Trade-In на новый;75.0;2446000.0;20000.0;2740000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
Z8TXTGF2WKM033746;Avangard Приморский;Mitsubishi;Outlander;2019;181653;Среднее (C);C;True;1–2 млн ₽;2.0;0.0;1749000.0;87.0;;;;;;1379000.0;69.0;370000.0;21.0;257222.0;14.7;Высокая прибыль;135235;;;нет данных;3+;29;Вырышев Максим;Вырышев Максим;Trade-In на новый;73.0;1400000.0;20000.0;1577778.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;True;False;True;True;True;False;True;False;False;False;False;False;8;Высокий;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней"
Z8NTANZ51CS007438;Avangard Приморский;Nissan;Murano;2012;150200;Среднее (C);C;True;1–2 млн ₽;5.0;3.0;1159000.0;102.0;;;;;;706966.0;62.0;452034.0;39.0;314233.0;27.1;Высокая прибыль;187358;0.0;0.0;0 звонков;3-;19;Жиганов Василий;Жиганов Василий;Trade-In;57.99999999999999;800000.0;20000.0;911111.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;False;True;False;False;False;False;False;False;False;False;False;False;2;Низкий;0 звонков
WDD2043491F696750;Авангард Выкуп;Mercedes-Benz;C-Класс;2011;180701;Среднее (C);C;True;1–2 млн ₽;15.0;15.0;1430000.0;105.0;;;;;;1150000.0;85.0;280000.0;20.0;177671.0;12.4;Высокая прибыль;203857;1.0;2.0;звонки были;1;;Бабкин Кирилл;Бабкин Кирилл;Выкуп;80.0;1304778.0;9622.0;1643000.0;2;Бабкин Кирилл;Бабкин Кирилл;1;1;False;True;False;False;False;False;False;False;False;False;False;False;False;True;0;Низкий;несколько оценок
Y4K8622Z9RB919380;Avangard Приморский;Belgee;X50;2024;21589;Хорошее (B);B;True;1–2 млн ₽;11.0;4.0;1904000.0;95.0;;;;;;1649290.0;82.0;254710.0;13.0;164142.0;8.6;Высокая прибыль;49968;1.0;1.0;звонки были;4;33;Вырышев Максим;Вырышев Максим;Trade-In на новый;83.0;1650000.0;20000.0;1855556.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;False;False;True;False;False;False;False;False;4;Средний;"ниже рынка; ниже рынка ≤7 дней"
WMWXR91080TF02163;Авангард Выкуп;Mini;Hatch;2018;146000;Хорошее (B);B;True;2–3 млн ₽;23.0;39.0;2100000.0;65.0;;;;;;1900000.0;58.0;200000.0;10.0;124184.0;5.8;Средняя прибыль;92500;1.0;4.0;звонки были;1;;Безносов Никита;Безносов Никита;Выкуп;71.0;1798378.0;9622.0;2260000.0;1;Безносов Никита;Безносов Никита;1;1;False;True;False;False;False;True;True;True;False;False;False;False;False;False;5;Средний;"ниже рынка; ниже 90% рынка; ниже 80% рынка"
XWEPH813DK0004870;Avangard Приморский;Kia;Sorento;2019;152550;Хорошее (B);B;True;2–3 млн ₽;19.0;12.0;2445000.0;95.0;;;;;;1950570.0;76.0;494430.0;20.0;315565.0;12.9;Высокая прибыль;124670;5.0;5.0;звонки были;4-;16;Вырышев Максим;Вырышев Максим;Trade-In на новый;75.0;1950000.0;20000.0;2188889.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
X7LHSRDVN50673902;Avangard Приморский;Renault;Duster;2014;120093;Плохое (D);D;True;<1 млн ₽;1.0;0.0;620000.0;70.0;;;;;;505390.0;57.0;114610.0;18.0;79434.0;12.8;Высокая прибыль;211082;;;нет данных;4-;27;Симаньков Артем;Симаньков Артем;Trade-In на новый;75.0;650000.0;20000.0;744444.0;1;Симаньков Артем;Симаньков Артем;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
XZGEE04A9PA866926;Avangard Приморский;Haval;Jolion;2023;30416;Хорошее (B);B;True;1–2 млн ₽;5.0;0.0;1808000.0;94.0;;;;;;1559000.0;81.0;249000.0;14.0;169359.0;9.4;Высокая прибыль;55082;;;нет данных;4;35;Жиганов Василий;Жиганов Василий;Trade-In на новый;80.0;1500000.0;20000.0;1688889.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;True;False;True;True;False;False;True;False;False;False;False;False;7;Высокий;"без публикации; нет данных по звонкам; ниже рынка; ниже рынка ≤7 дней"
XWEGU411BK0008884;Avangard Приморский;Kia;Optima;2018;114904;Хорошее (B);B;True;1–2 млн ₽;14.0;10.0;1875000.0;102.0;;;;;;1520570.0;83.0;354430.0;19.0;228841.0;12.2;Высокая прибыль;157041;3.0;4.0;звонки были;4+;28;Параничев Андрей;Параничев Андрей;Trade-In на новый;85.0;1507300.0;20000.0;1697000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0;Низкий;
Z8NFDAJ11ES061964;Avangard Приморский;Nissan;Qashqai;2018;142400;Плохое (D);D;True;1–2 млн ₽;0.0;0.0;1050000.0;68.0;;;;;;905390.0;58.0;144610.0;14.0;100811.0;9.6;Высокая прибыль;137723;;;нет данных;1;;Бойцов Иван;Бойцов Иван;Trade-In на новый;79.0;1150000.0;20000.0;1300000.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
XW8ZZZ61ZCG058142;Avangard Приморский;Volkswagen;Polo;2012;244449;Плохое (D);D;True;<1 млн ₽;10.0;0.0;210000.0;31.0;280000.0;75.0;75.0;-70000.0;-25.0;108966.0;16.0;101034.0;48.0;69303.0;33.0;Высокая прибыль;208882;;;нет данных;4-;35;Жиганов Василий;Жиганов Василий;Trade-In;54.0;350000.0;20000.0;411111.0;1;Жиганов Василий;Жиганов Василий;1;1;True;True;True;False;True;True;True;True;True;True;True;True;False;False;15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП"
YV1DZ8256D2373175;Avangard Приморский;Volvo;XC60;2012;258459;Плохое (D);D;True;1–2 млн ₽;5.0;0.0;1000000.0;65.0;;;;;;909000.0;59.0;91000.0;9.0;60013.0;6.0;Средняя прибыль;247291;;;нет данных;2+;20;Вырышев Максим;Вырышев Максим;Trade-In на БУ;78.0;1150000.0;20000.0;1300000.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
XW8ZZZ61ZFG045964;Avangard Приморский;Volkswagen;Polo;2015;137757;Среднее (C);C;True;<1 млн ₽;9.0;5.0;725000.0;86.0;;;;;;506966.0;60.0;218034.0;30.0;148720.0;20.5;Высокая прибыль;192525;2.0;2.0;звонки были;3;57;Вырышев Максим;Вырышев Максим;Trade-In на новый;64.0;525000.0;20000.0;605556.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;True;False;True;False;False;False;False;False;5;Средний;"ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней"
WAUZZZ8K0CA062873;Avangard Приморский;Audi;A4;2011;210795;Плохое (D);D;True;<1 млн ₽;1.0;0.0;700000.0;66.0;;;;;;543500.0;51.0;156500.0;22.0;107524.0;15.4;Высокая прибыль;207265;;;нет данных;3-;34;Вырышев Максим;Вырышев Максим;Trade-In на новый;62.0;650000.0;20000.0;744444.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
WBAFF41090L108403;Авангард Выкуп;BMW;X5;2009;220001;Хорошее (B);B;True;1–2 млн ₽;11.0;12.0;1670000.0;87.0;;;;;;;;;;;;;287535;0.0;3.0;звонки были;3-;49;;;;;;;;0;;;1;1;False;False;False;False;False;True;True;False;False;False;False;False;False;False;3;Средний;"ниже рынка; ниже 90% рынка"
