VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние исходное;Состояние;В основной выборке;Ценовой сегмент;Срок хранения;Срок публикации;Цена продажи факт;% цены к рынку;МЦП;% цены к МЦП;% цены к МЦП исходный;Отклонение от МЦП, ₽;Отклонение от МЦП, % п.п.;Суммарные затраты;% затрат к рынку выбытие;GM1, ₽;GM1, %;GM2, ₽;GM2, %;Категория GM2;Средний пробег рынка;Количество звонков за последнее время;Количество звонков;Статус звонков;Скоринг исходный;Средняя скорость продажи;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Собственнику;Подготовка оценка;Цена продажи из оценки (не МЦП);Оценок по VIN;Оценщики все;Менеджеры все;Дублей в выбытиях;Дублей в МЦП;Есть МЦП;Есть оценка;flag_no_publication;flag_zero_calls;flag_calls_no_data;flag_below_market;flag_below_market_90;flag_below_market_80;flag_quick_below_market;flag_below_ocp;flag_below_ocp_95;flag_below_ocp_90;flag_negative_gm2;flag_multiple_evaluations;Риск-балл;Уровень риска;Риск-флаги
XZGFF04A4LA501582;Avangard Приморский;Haval;H5;2020;177712;Плохое (D);D;True;<1 млн ₽;1.0;0.0;925000.0;60.0;;;;;;800000.0;52.0;125000.0;14.0;87478.0;9.5;Высокая прибыль;102184;;;нет данных;1+;;Вырышев Максим;Вырышев Максим;Trade-In на новый;68.0;1100000.0;20000.0;1244444.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
TSMLYE21S00904247;Avangard Приморский;Suzuki;Vitara;2020;96977;Среднее (C);C;True;1–2 млн ₽;18.0;15.0;1999000.0;93.0;;;;;;1571100.0;73.0;427900.0;21.0;272996.0;13.7;Высокая прибыль;85436;2.0;4.0;звонки были;1+;;Бойцов Иван;Бойцов Иван;Trade-In на новый;81.0;1542400.0;20000.0;1736000.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
X7LASRBA656019603;Avangard Приморский;Renault;Kaptur;2016;313500;Среднее (C);C;True;<1 млн ₽;15.0;0.0;953000.0;65.0;;;;;;706966.0;49.0;246034.0;26.0;166072.0;17.4;Высокая прибыль;126216;;;нет данных;4;18;Бойцов Иван;Бойцов Иван;Trade-In на новый;56.00000000000001;800000.0;20000.0;911111.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
LGWFF7A55RJ661632;Avangard Приморский;Tank;300;2024;19747;Отличное (A);A;True;3–5 млн ₽;8.0;7.0;3890000.0;103.0;;;;;;3223366.0;85.0;666634.0;17.0;446626.0;11.5;Высокая прибыль;32047;1.0;1.0;звонки были;4-;37;Бойцов Иван;Бойцов Иван;Trade-In на новый;84.0;3160600.0;20000.0;3534000.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0;Низкий;
LB37852DXRS116284;Avangard Приморский;Geely;Monjaro;2024;34604;Хорошее (B);B;True;3–5 млн ₽;37.0;35.0;3370000.0;95.0;;;;;;3147490.0;89.0;222510.0;7.0;60256.0;1.8;Низкая прибыль;32951;1.0;15.0;звонки были;4-;38;Вырышев Максим;Вырышев Максим;Trade-In на новый;86.0;3300000.0;20000.0;3688889.0;2;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;True;2;Низкий;"ниже рынка; несколько оценок"
SAJBB4BG7HCY43497;Авангард Выкуп;Jaguar;XF;2016;137344;Хорошее (B);B;True;1–2 млн ₽;23.0;17.0;1850000.0;96.0;;;;;;;;;;;;;156259;0.0;0.0;0 звонков;1;;;;;;;;;0;;;1;1;False;False;False;True;False;True;False;False;False;False;False;False;False;False;4;Средний;"0 звонков; ниже рынка"
X4XWY59440LW12922;Avangard Приморский;BMW;X3;2013;159000;Хорошее (B);B;True;2–3 млн ₽;34.0;16.0;2299000.0;104.0;;;;;;1672900.0;75.0;626100.0;27.0;398726.0;17.3;Высокая прибыль;225022;2.0;2.0;звонки были;3;29;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;81.0;1700000.0;20000.0;2125000.0;1;Тронягин Кирилл;Тронягин Кирилл;1;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0;Низкий;
XW8AT6NH7MK118056;Avangard Приморский;Skoda;Rapid;2021;166314;Хорошее (B);B;True;1–2 млн ₽;32.0;26.0;1415000.0;92.0;;;;;;1180390.0;77.0;234610.0;17.0;130735.0;9.2;Высокая прибыль;73655;3.0;4.0;звонки были;2+;64;Симаньков Артем;Симаньков Артем;Trade-In на новый;81.0;1182400.0;20000.0;1336000.0;1;Симаньков Артем;Симаньков Артем;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
X7LHSRDJD50845766;Avangard Приморский;Renault;Duster;2014;154766;Плохое (D);D;True;<1 млн ₽;5.0;1.0;600000.0;59.0;;;;;;406966.0;40.0;193034.0;32.0;133491.0;22.2;Высокая прибыль;154542;3.0;3.0;звонки были;4-;18;Вырышев Максим;Вырышев Максим;Trade-In на новый;52.0;500000.0;20000.0;577778.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;True;True;True;False;False;False;False;False;7;Высокий;"ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
Y4K8762D8JB303148;Avangard Приморский;Geely;Atlas;2018;49835;Среднее (C);C;True;1–2 млн ₽;18.0;15.0;1470000.0;85.0;;;;;;1042100.0;60.0;427900.0;29.0;268311.0;18.3;Высокая прибыль;62421;6.0;13.0;звонки были;4;16;Бойцов Иван;Бойцов Иван;Trade-In на новый;81.0;1362400.0;20000.0;1536000.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;True;False;False;False;False;False;False;False;3;Средний;"ниже рынка; ниже 90% рынка"
WDB4633461X242721;Avangard Приморский;Mercedes-Benz;G-Класс;2015;126018;Среднее (C);C;True;3–5 млн ₽;3.0;0.0;3550000.0;62.0;3858695.652173913;92.0;92.0;-308695.6521739131;-8.0;2979141.0;52.0;570859.0;16.0;391750.0;11.0;Высокая прибыль;150679;;;нет данных;2;27;Параничев Андрей;Параничев Андрей;Trade-In на новый;75.0;3760800.0;300000.0;4512000.0;1;Параничев Андрей;Параничев Андрей;1;1;True;True;True;False;True;True;True;True;True;True;True;False;False;False;14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП"
YV1LC08ACM1771034;Avangard Приморский;Volvo;XC90;2021;65850;Хорошее (B);B;True;5+ млн ₽;9.0;4.0;5099000.0;90.0;;;;;;4238306.0;75.0;860694.0;17.0;575787.0;11.3;Высокая прибыль;111730;7.0;7.0;звонки были;3-;14;Жиганов Василий;Жиганов Василий;Trade-In на новый;81.0;4200000.0;20000.0;4688889.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;False;False;False;True;False;False;True;False;False;False;False;False;4;Средний;"ниже рынка; ниже рынка ≤7 дней"
X7LHSRHGD62692103;Avangard Приморский;Renault;Duster;2019;55110;Хорошее (B);B;True;1–2 млн ₽;12.0;5.0;1549000.0;93.0;1549000.0;100.0;100.0;0.0;0.0;1303890.0;78.0;245110.0;16.0;159008.0;10.3;Высокая прибыль;121352;4.0;4.0;звонки были;4;12;Параничев Андрей;Параничев Андрей;Trade-In на новый;87.0;1273300.0;20000.0;1437000.0;1;Параничев Андрей;Параничев Андрей;1;1;True;True;False;False;False;True;False;False;True;False;False;False;False;False;4;Средний;"ниже рынка; ниже рынка ≤7 дней"
WBA11AK0807F92078;Авангард Выкуп;BMW;2 серии;2020;221500;Хорошее (B);B;True;2–3 млн ₽;10.0;2.0;2199000.0;110.0;;;;;;;;149000.0;7.0;87519.0;4.0;Низкая прибыль;103826;0.0;0.0;0 звонков;3;35;Мироненко Алексей;Мироненко Алексей;Выкуп;80.0;1522378.0;9622.0;1915000.0;1;Мироненко Алексей;Мироненко Алексей;1;1;False;True;False;True;False;False;False;False;False;False;False;False;False;False;2;Низкий;0 звонков
X7MEN41BP6M017061;Avangard Приморский;Hyundai;Sonata;2005;242274;Плохое (D);D;True;<1 млн ₽;5.0;0.0;236000.0;86.0;;;;;;99000.0;36.0;137000.0;58.0;94585.0;40.1;Высокая прибыль;265161;;;нет данных;2;59;Параничев Андрей;Параничев Андрей;Trade-In на новый;55.00000000000001;119400.0;20000.0;205000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;True;False;True;True;True;False;True;False;False;False;False;False;8;Высокий;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней"
