Марка;Модель;Год выпуска;Цвет;VIN;Автосалон;Пробег;Состояние автомобиля;Срок хранения;Срок публикации;Цена продажи;% цены к рынку;GM2. Маржа, ₽;GM2. Маржа, %;Минимальная цена продажи (МЦП);% цены к МЦП;Контроль размещения на auto.ru
Opel;Astra;2014;белый;XWFPD2D11E0014337;Avangard Приморский;156230;Плохое (D);1;0;350000;45;27167;7.8;388888.8888888889;90;Не размещен
Ford;Focus;2017;красный;Z6F5XXEEC5HR34764;Avangard Приморский;126579;Плохое (D);8;0;600000;61;60272;10;638297.8723404256;94;Не размещен
Geely;Coolray;2023;белый;Y4K8622Z1PB916180;Avangard Приморский;24415;Отличное (A);42;36;1845000;91;106826;5.8;1882653.06122449;98;Размещен
Haval;Jolion;2025;белый;XZGEE04AXSA598980;Avangard Приморский;4670;Хорошее (B);45;37;1799000;93;142799;7.9;1835714.2857142857;98;Размещен
Toyota;Venza;2010;серебряный;4T3BA3BB1AU013598;Avangard Приморский;211077;Среднее (C);5;0;1080000;72;62618;5.8;1113402.06185567;97;Не размещен
Ford;Focus;2005;красный;X9FAXXEEDA5U52056;Avangard Приморский;175200;Плохое (D);1;0;50000;24;28128;56.3;83333.33333333334;60;Не размещен
Haval;H9;2023;серый;XZGFF07AXPA110177;Avangard Приморский;20600;Хорошее (B);6;4;3299000;98;250925;7.6;3332323.2323232326;99;Размещен
Skoda;Rapid;2017;черный;XW8AC4NH8HK126371;Avangard Приморский;144650;Плохое (D);1;0;600000;64;79445;13.2;631578.9473684211;95;Не размещен
Skoda;Rapid;2019;белый;XW8AC2NH3KK122496;Avangard Приморский;99358;Среднее (C);97;81;1019000;75;-21660;-2.1;1050515.4639175257;97;Размещен
Ford;Mondeo;2017;черный;Z6FDXXEECDHU27469;Avangard Приморский;109647;Хорошее (B);0;0;1500000;79;153937;10.3;1530612.2448979593;98;Не размещен
Geely;Monjaro;2023;белый;LB37852D8PS152195;Avangard Приморский;38879;Хорошее (B);51;48;2999000;90;42435;1.4;3029292.9292929294;99;Размещен
Subaru;Forester;2011;серый;JF1SH9LT5BG218172;Avangard Приморский;95400;Хорошее (B);102;88;1399000;135;100118;7.2;1427551.0204081633;98;Размещен
Geely;Tugella;2022;серый;L6T7852D8ND109053;Avangard Приморский;29055;Хорошее (B);12;11;2740000;91;270400;9.9;2767676.767676768;99;Размещен
Ford;Focus;2018;синий;Z6F5XXEEC5JB58933;Avangard Приморский;169456;Хорошее (B);86;77;878000;83;60865;6.9;905154.6391752578;97;Размещен
Geely;GS;2021;белый;Y4K8742Z4MB700571;Avangard Приморский;44955;Хорошее (B);38;36;1315000;81;163141;12.4;1341836.7346938776;98;Размещен
Belgee;X50;2024;серый;Y4K8622Z2RB922086;Avangard Приморский;30182;Хорошее (B);43;38;1889000;97;44761;2.4;1908080.808080808;99;Размещен
Chery;Tiggo 7 Pro Max;2024;красный;LVVDB21B8RD755593;Avangard Приморский;69935;Хорошее (B);16;13;1835000;99;247286;13.5;1853535.3535353534;99;Размещен
Haval;M6;2024;черный;LGWEF4A58RF704437;Avangard Приморский;62017;Хорошее (B);112;106;1590000;95;94699;6;1606060.606060606;99;Размещен
Volvo;V50;2007;серый;YV1MW214272323766;Avangard Приморский;418419;Плохое (D);5;0;215000;31;75905;35.3;228723.40425531915;94;Не размещен
Mazda;3;2006;золотой;JMZBK12Z271516734;Avangard Приморский;358347;Плохое (D);5;0;70000;19;37848;54.1;82352.94117647059;85;Не размещен
Chevrolet;Cruze;2013;белый;XUFJA685JD3044105;Avangard Приморский;159708;Плохое (D);1;0;450000;70;34947;7.8;459183.67346938775;98;Не размещен
Kia;Ceed;2014;серый;XWEHM512AE0005014;Avangard Приморский;134093;Хорошее (B);100;94;826000;83;66463;8;834343.4343434344;99;Размещен
Lada (ВАЗ);Granta;2024;белый;XTA219040S1097597;Авангард Выкуп;7800;Отличное (A);151;61;699000;87;;;706060.6060606061;99;Размещен
УАЗ;Патриот;2013;белый;XTT316300D0007600;Avangard Приморский;131847;Плохое (D);1;0;210000;36;36054;17.2;216494.84536082475;97;Не размещен
Hyundai;Getz;2007;черный;KMHBU51BP7U720616;Avangard Приморский;173885;Плохое (D);5;0;210000;39;35710;17;214285.7142857143;98;Не размещен
