Автосалон;Автомобилей;С МЦП;Доля с МЦП;Ниже МЦП;Доля ниже МЦП;Недобор к МЦП, ₽;Среднее отклонение к МЦП, ₽;Медианное отклонение к МЦП, ₽;Ниже рынка;Доля ниже рынка;Без публикации;Доля без публикации;Ниже рынка ≤7 дней;Доля ниже рынка ≤7 дней;0 звонков;Доля 0 звонков;Нет данных по звонкам;Доля нет данных по звонкам;GM2<0;Доля GM2<0;Средний % к рынку;Медианный срок публикации;Средний срок хранения;Средний GM2, ₽;Высокий риск;Критический риск;Высокий+критический риск;Доля высокий+критический риск
Avangard Приморский;412;53;0.12864077669902912;50;0.9433962264150944;4679910.755141953;-88300.20292720669;-38888.888888888876;365;0.8859223300970874;136;0.3300970873786408;161;0.3907766990291262;19;0.04611650485436893;139;0.33737864077669905;14;0.03398058252427184;84.72439024390243;11.0;27.354368932038835;143839.2857142857;42;106;148;0.3592233009708738
Авангард Выкуп;63;7;0.1111111111111111;7;1.0;666150.1730553665;-95164.31043648093;-78750.0;25;0.3968253968253968;25;0.3968253968253968;9;0.14285714285714285;5;0.07936507936507936;21;0.3333333333333333;13;0.20634920634920634;96.75;8.0;42.42857142857143;70720.275;4;8;12;0.19047619047619047
