Ценовой сегмент;Автомобилей;С МЦП;Доля с МЦП;Ниже МЦП;Доля ниже МЦП;Недобор к МЦП, ₽;Среднее отклонение к МЦП, ₽;Медианное отклонение к МЦП, ₽;Ниже рынка;Доля ниже рынка;Без публикации;Доля без публикации;Ниже рынка ≤7 дней;Доля ниже рынка ≤7 дней;0 звонков;Доля 0 звонков;Нет данных по звонкам;Доля нет данных по звонкам;GM2<0;Доля GM2<0;Средний % к рынку;Медианный срок публикации;Средний срок хранения;Средний GM2, ₽;Высокий риск;Критический риск;Высокий+критический риск;Доля высокий+критический риск
1–2 млн ₽;173;24;0.13872832369942195;23;0.9583333333333334;1988928.7634704597;-82872.03181126916;-39996.31811487477;153;0.884393063583815;29;0.1676300578034682;44;0.2543352601156069;14;0.08092485549132948;31;0.1791907514450867;12;0.06936416184971098;89.95348837209302;18.0;34.358381502890175;130053.09036144578;13;25;38;0.21965317919075145
<1 млн ₽;159;24;0.1509433962264151;22;0.9166666666666666;1455686.167027663;-60653.590292819266;-35815.60283687948;144;0.9056603773584906;102;0.6415094339622641;103;0.6477987421383647;1;0.006289308176100629;102;0.6415094339622641;3;0.018867924528301886;73.73717948717949;0.0;20.71069182389937;86451.10828025478;21;81;102;0.6415094339622641
2–3 млн ₽;79;8;0.10126582278481013;8;1.0;1248594.6749635986;-156074.33437044983;-97362.32817869424;56;0.7088607594936709;13;0.16455696202531644;15;0.189873417721519;7;0.08860759493670886;12;0.1518987341772152;8;0.10126582278481013;95.02597402597402;15.0;32.860759493670884;175847.83333333334;6;6;12;0.1518987341772152
3–5 млн ₽;51;4;0.0784313725490196;4;1.0;652851.3227355997;-163212.83068389993;-155416.21911922703;33;0.6470588235294118;9;0.17647058823529413;6;0.11764705882352941;1;0.0196078431372549;9;0.17647058823529413;3;0.058823529411764705;94.8936170212766;16.0;31.784313725490197;287865.0;5;2;7;0.13725490196078433
5+ млн ₽;10;0;0.0;0;;0;nan;nan;4;0.4;5;0.5;2;0.2;1;0.1;3;0.3;1;0.1;101.6;2.0;48.3;234254.0;1;0;1;0.1
Нет данных;3;0;0.0;0;;0;nan;nan;0;0.0;3;1.0;0;0.0;0;0.0;3;1.0;0;0.0;nan;0.0;2.0;nan;0;0;0;0.0
