Состояние;Автомобилей;С МЦП;Доля с МЦП;Ниже МЦП;Доля ниже МЦП;Недобор к МЦП, ₽;Среднее отклонение к МЦП, ₽;Медианное отклонение к МЦП, ₽;Ниже рынка;Доля ниже рынка;Без публикации;Доля без публикации;Ниже рынка ≤7 дней;Доля ниже рынка ≤7 дней;0 звонков;Доля 0 звонков;Нет данных по звонкам;Доля нет данных по звонкам;GM2<0;Доля GM2<0;Средний % к рынку;Медианный срок публикации;Средний срок хранения;Средний GM2, ₽;Высокий риск;Критический риск;Высокий+критический риск;Доля высокий+критический риск
B;168;18;0.10714285714285714;17;0.9444444444444444;1113440.14197546;-61857.78566530333;-29421.974850546336;132;0.7857142857142857;15;0.08928571428571429;30;0.17857142857142858;12;0.07142857142857142;17;0.10119047619047619;8;0.047619047619047616;95.10179640718563;17.0;32.55952380952381;171989.3205128205;13;8;21;0.125
C;151;14;0.09271523178807947;14;1.0;1878272.439950002;-134162.31713928585;-125052.55613951257;136;0.9006622516556292;27;0.17880794701986755;38;0.25165562913907286;8;0.052980132450331126;30;0.1986754966887417;9;0.059602649006622516;86.84563758389261;18.0;34.21854304635762;147457.27210884355;13;21;34;0.2251655629139073
D;98;20;0.20408163265306123;18;0.9;1650545.1119920022;-82527.25559960012;-38593.380614657246;94;0.9591836734693877;95;0.9693877551020408;92;0.9387755102040817;0;0.0;93;0.9489795918367347;1;0.01020408163265306;64.34375;0.0;9.918367346938776;80825.94897959183;15;77;92;0.9387755102040817
A;41;8;0.1951219512195122;8;1.0;703803.2342798564;-87975.40428498205;-77880.1546391754;19;0.4634146341463415;9;0.21951219512195122;3;0.07317073170731707;4;0.0975609756097561;8;0.1951219512195122;6;0.14634146341463414;99.48648648648648;17.0;43.146341463414636;105143.875;3;3;6;0.14634146341463414
Не указано;16;0;0.0;0;;0;nan;nan;8;0.5;14;0.875;6;0.375;0;0.0;11;0.6875;3;0.1875;86.75;0.0;35.0;92223.07692307692;2;4;6;0.375
Битый;1;0;0.0;0;;0;nan;nan;1;1.0;1;1.0;1;1.0;0;0.0;1;1.0;0;0.0;47.0;0.0;5.0;70837.0;0;1;1;1.0
