Тип продавца в объявлении;Авто, шт.;Сумма продажи Авангард, ₽;Сумма цен объявлений, ₽;Потенциальная упущенная выгода, ₽;Средняя упущенная выгода, ₽;Средняя наценка, %;Медиана дней до публикации
Частное лицо;12;9055000.0;11840000.0;2785000.0;232083;45.9;14.6
Автосалон;10;16872000.0;18578000.0;1706000.0;170600;12.2;11.8
